Raw,StoreCode,StoreName
"0274 PEP ESTCOURT ALBERT STREET SHOP _ BUILDING _, 165 ALBERT STREET ESTCOURT ESTCOURT KWAZULU-NATAL",0274,PEP ESTCOURT
"0277 PEP WELKOM BOK STREET SHOP, 22A BOK STREET WELKOM WELKOM FREE STATE",0277,PEP WELKOM
"0279 PEP WHITERIVER SQUARE SHOP 17 WHITE RIVER SQUARE, CNR CHIEF MGIYENI DRIVE HENNIE VAN TIL STREET WHITE RIVER WHITE RIVER MPUMALANGA",0279,PEP WHITERIVER
"0289 PEP BRONKHORSTSPRUIT CHURCH ST SHOP, 23 CHURCH STREET BRONKHORSTSPRUIT BRONKHORSTSPRUIT GAUTENG",0289,PEP BRONKHORSTSPRUIT
"0294 PEP MEYERTON SHOP 2 PRESIDENT COURT, 27 LOCH STREET MEYERTON MEYERTON GAUTENG",0294,PEP MEYERTON
"0296 PEP DUNDEE VICTORIA STREET SHOP, 296 VICTORIA STREET DUNDEE DUNDEE KWAZULU-NATAL",0296,PEP DUNDEE
"0303 PEP BELA-BELA CHRIS HANI DR SHOP C VAN HEERDEN BUILDING (PREVIOUSLY TRIO), 29 CHRIS HANI DRIVE BELA-BELA BELA-BELA LIMPOPO",0303,PEP BELA-BELA
"0306 PEP BOTHAVILLE SHOP, CNR PRESIDENT STREET & VAN RIEBEECK STREET BOTHAVILLE BOTHAVILLE FREE STATE",0306,PEP BOTHAVILLE
"0312 PEP EMPANGENI UNION STREET SHOP 1 BUILDING_, 11 UNION STREET EMPANGENI EMPANGENI KWAZULU-NATAL",0312,PEP EMPANGENI
"0315 PEP KW TOWN MACLEAN ROAD SHOP 3, 28 MACLEAN ROAD KING WILLIAMS TOWN KING WILLIAMS TOWN EASTERN CAPE",0315,PEP KW
"0318 PEP LYDENBURG TAMARISK BUILDING , 18 VOORTREKKER STREET LYDENBURG LYDENBURG MPUMALANGA",0318,PEP LYDENBURG
"0322 PEP FICKSBURG FONTEIN STREET SHOP, 40 FONTEIN STREET FICKSBURG FICKSBURG FREE STATE",0322,PEP FICKSBURG
"0324 PEP HARTSWATER SHOP 1 BRINK CENTRE , CORNER JAN SMUTS REITZ STREET HARTSWATER HARTSWATER NORTHERN CAPE",0324,PEP HARTSWATER
"0327 PEP QUEENSTOWN HEXAGON SQUARE SHOP 2 HEXZAGON SQUARE, BOWKER STREET QUEENSTOWN QUEENSTOWN EASTERN CAPE",0327,PEP QUEENSTOWN
"0337 PEP KRUGERSDORP MARK STREET SHOP 6, CORNER 28 MARKET STREET COMMISSIONER STREET KRUGERSDORP KRUGERSDORP GAUTENG",0337,PEP KRUGERSDORP
"0338 PEP MUSINA KLAFF STREET SHOP 1, 8 KLAFF STREET MUSINA MUSINA LIMPOPO",0338,PEP MUSINA
"0339 PEP VRYBURG MARKET SHOP _ BUILDING _, 93 MARKET STREET VRYBURG VRYBURG NORTH WEST",0339,PEP VRYBURG
"0340 PEP WELLINGTON MAIN STREET SHOP _ MAIN ROAD CENTRE, 80 MAIN STREET WELLINGTON WELLINGTON WESTERN CAPE",0340,PEP WELLINGTON
"0345 PEP TZANEEN DANIE JOUBERT STR SHOP 345 JOSEPH CENTRE, 4 DANIE JOUBERT STREET TZANEEN TZANEEN LIMPOPO",0345,PEP TZANEEN
"0349 PEP PIET RETIEF MARK STREET SHOP 5 KURPER BUILDING, C/O MARK STREET & ZUIDEN STREET PIET RETIEF PIET RETIEF MPUMALANGA",0349,PEP PIET
"0352 PEP HEIDELBERG (GP) SHOPRITE SHOP 9 SHOPRITE CHECKERS CENTRE, 61 VOORTREKKER STREET HEIDELBERG HEIDELBERG GAUTENG",0352,PEP HEIDELBERG
"0353 PEP JHB MAYFAIR SHOP, 160 CENTRAL AVENUE MAYFAIR JOHANNESBURG GAUTENG",0353,PEP JHB
"0354 PEP VENTERSDORP SHOP _ BUILDING _, 9 HENDRICK POTGIETER STREET R35 CARMICHAEL STREET VENTERSDORP VENTERSDORP NORTH WEST",0354,PEP VENTERSDORP
"0356 PEP JHB BRIXTON PROTEA CENTRE SHOP 34-37 PROTEA SHOPPING CENTRE, 35 HIGH STREET BRIXTON JOHANNESBURG GAUTENG",0356,PEP JHB
"0359 PEP PORT SHEPSTONE WOOLY STR SHOP 6 BOODHRAM HOUSE, C/O WOOLY STREET NELSON MANDELA DRIVE PORT SHEPSTONE PORT SHEPSTONE KWAZULU-NATAL",0359,PEP PORT
"0366 PEP CPT KENSINGTON KENSIGNTON SHOPPING CENTRE, 12 AVENUE KENSINGTON CAPE TOWN WESTERN CAPE",0366,PEP CPT
"0372 PEP KUILSRIVER SHOPRITE CENTRE SHOP 18-19 SHOPRITE CENTRE, CORNER NOOIENSFONTEIN VAN RIEBEECK ROAD KUILS RIVER KUILS RIVER WESTERN CAPE",0372,PEP KUILSRIVER
"0373 PEP MIDDELBURG (MP) SADC STR SHOP, C/O SADC STREET SNYMAN STREET MIDDELBURG MIDDELBURG MPUMALANGA",0373,PEP MIDDELBURG
